C_Name,T_Name,TOWN_ID,nfullname,web
雲林縣,麥寮鄉,1000913,雲林縣麥寮鄉,0.408
屏東縣,東港鎮,1001303,屏東縣東港鎮,0.455
高雄市,湖內區,6402500,高雄市湖內區,0.386
臺中市,石岡區,6602000,臺中市石岡區,0.422
臺南市,後壁區,6700500,臺南市後壁區,0.468
屏東縣,新園鄉,1001317,屏東縣新園鄉,0.234
臺東縣,卑南鄉,1001404,臺東縣卑南鄉,0.291
彰化縣,田中鎮,1000712,彰化縣田中鎮,0.621
嘉義縣,大林鎮,1001004,嘉義縣大林鎮,0.378
嘉義縣,朴子市,1001002,嘉義縣朴子市,0.585
彰化縣,社頭鄉,1000717,彰化縣社頭鄉,0.528
臺中市,外埔區,6602100,臺中市外埔區,0.316
南投縣,魚池鄉,1000809,南投縣魚池鄉,0.523
高雄市,鹽埕區,6400100,高雄市鹽埕區,0.588
彰化縣,伸港鄉,1000705,彰化縣伸港鄉,0.536
高雄市,茄萣區,6402600,高雄市茄萣區,0.261
南投縣,仁愛鄉,1000813,南投縣仁愛鄉,0.425
苗栗縣,大湖鄉,1000508,苗栗縣大湖鄉,0.332
宜蘭縣,員山鄉,1000207,宜蘭縣員山鄉,0.566
彰化縣,北斗鎮,1000719,彰化縣北斗鎮,0.599
屏東縣,竹田鄉,1001314,屏東縣竹田鄉,0.427
南投縣,鹿谷鄉,1000807,南投縣鹿谷鄉,0.452
臺東縣,太麻里鄉,1001409,臺東縣太麻里鄉,0.378
臺南市,七股區,6701500,臺南市七股區,0.438
屏東縣,枋寮鄉,1001316,屏東縣枋寮鄉,0.397
嘉義縣,竹崎鄉,1001014,嘉義縣竹崎鄉,0.408
臺南市,柳營區,6700400,臺南市柳營區,0.457
新北市,萬里區,6502800,新北市萬里區,0.476
雲林縣,莿桐鄉,1000909,雲林縣莿桐鄉,0.204
屏東縣,萬巒鄉,1001312,屏東縣萬巒鄉,0.133
彰化縣,田尾鄉,1000721,彰化縣田尾鄉,0.594
彰化縣,溪州鄉,1000726,彰化縣溪州鄉,0.599
臺中市,中區,6600100,臺中市中區,0.615
高雄市,梓官區,6402900,高雄市梓官區,0.307
雲林縣,元長鄉,1000917,雲林縣元長鄉,0.217
苗栗縣,卓蘭鎮,1000507,苗栗縣卓蘭鎮,0.122
臺南市,西港區,6701400,臺南市西港區,0.294
屏東縣,里港鄉,1001309,屏東縣里港鄉,0.215
臺南市,學甲區,6701300,臺南市學甲區,0.351
新北市,金山區,6502700,新北市金山區,0.367
屏東縣,高樹鄉,1001311,屏東縣高樹鄉,0.245
彰化縣,永靖鄉,1000716,彰化縣永靖鄉,0.435
屏東縣,九如鄉,1001308,屏東縣九如鄉,0.185
嘉義縣,梅山鄉,1001015,嘉義縣梅山鄉,0.258
臺南市,東山區,6700600,臺南市東山區,0.4
宜蘭縣,壯圍鄉,1000206,宜蘭縣壯圍鄉,0.482
南投縣,國姓鄉,1000810,南投縣國姓鄉,0.239
嘉義縣,番路鄉,1001016,嘉義縣番路鄉,0.269
新竹縣,橫山鄉,1000408,新竹縣橫山鄉,0.31
雲林縣,林內鄉,1000910,雲林縣林內鄉,0.231
桃園市,復興區,6801300,桃園市復興區,0.463
新北市,三芝區,6502100,新北市三芝區,0.324
屏東縣,鹽埔鄉,1001310,屏東縣鹽埔鄉,0.179
宜蘭縣,三星鄉,1000210,宜蘭縣三星鄉,0.479
花蓮縣,玉里鎮,1001503,花蓮縣玉里鎮,0.708
彰化縣,埤頭鄉,1000722,彰化縣埤頭鄉,0.446
高雄市,旗津區,6401000,高雄市旗津區,0.449
苗栗縣,西湖鄉,1000514,苗栗縣西湖鄉,0.256
臺南市,下營區,6700800,臺南市下營區,0.321
臺南市,鹽水區,6700200,臺南市鹽水區,0.34
屏東縣,佳冬鄉,1001321,屏東縣佳冬鄉,0.237
臺南市,六甲區,6700900,臺南市六甲區,0.337
雲林縣,二崙鄉,1000911,雲林縣二崙鄉,0.177
